Municipi;Explotador/s;Estat;Categoria;Denominació comercial;UTM(Y);Direcció;UTM (X);Inici d'activitat;Signatura;Hotel de ciutat;Excepcions ratio turístic;Superfície;Subgrup;Memoria descriptiva;Grup;Unitats;Places;Localitat;longitude;latitude
SÓLLER;Hostal Sóller SL (B57948200);Alta;;Hostel Sóller - Ca ses Madrines;4401870.867000001;Carrer DE SANTA TERESA, 27. 07100 SÓLLER, Mallorca;475931.48479999974;14/06/2023;ABT/1;;Excepció article 5.5 llei 8/2012, Albergs;0;Allotjaments;;Alberg;10;60;Sóller;2.718989542901724;39.76642419243254
MONTUÏRI;PORTALS I FINESTRES S.L. (B57017550);Alta;;EMBAT;4379837.114999999;Carrer RECTOR ESCARRER, 4. 07230 MONTUÏRI, Mallorca;498470.68500000006;01/10/2024;ABT/2;;Excepció article 5.5 llei 8/2012, Albergs;482;Allotjaments;;Alberg;9;38;Montuïri;2.982195505882316;39.56823182795974
PALMA;RESIDENCIA ESTUDIANTES MAYOL SL (B57694143);Alta;;RESIDENCIA MAYOL;;Carrer Molí del Garrover, 5. 07010 PALMA, Mallorca;;29/10/2024;ABT/3;;Excepció article 5.5 llei 8/2012, Albergs;430;Allotjaments;;Alberg;19;38;Palma;;
ESPORLES;RENTA MEDITERRANEA SL (B07911803);Alta;;SON FERRA;4388008.79063;ES VERGER KM.2,5, S/N. 07190 ESPORLES, Mallorca;463196.156274;30/06/1992;AG/1;;;;Allotjaments;;Agroturisme;6;11;Esporles;2.571076234225061;39.641071502839985
ALCÚDIA;CAN VERDAL SL (B57953127);Alta;;SON SIURANA;4407189.07;C-713 PALMA-ALCUDIA KM.45, S/N. 07400 ALCÚDIA, Mallorca;504229.32;09/05/2001;AG/100;;;;Allotjaments;;Agroturisme;17;41;Alcúdia;3.0494137059305184;39.81467154150796
SENCELLES;SECTOR RURAL, SL (B57180739);Alta;;CAN RAIÓ;4387853.68653;Polígon 12, PARCELA 119 (FINCA CAN RAIÓ). 07140 SENCELLES, Mallorca;491252.027815;28/05/2001;AG/102;;;;Allotjaments;;Agroturisme;8;16;Sencelles;2.898049120030565;39.64042112234811
BUNYOLA;FINCA SA MANIGA SL (B07966278);Alta;;SA MANIGA;4395039.76;AFORES. S/N. (7-PARCEL.LA 161), S/N. 07110 BUNYOLA, Mallorca;473748.08;11/06/2001;AG/103;;;;Allotjaments;;Agroturisme;6;12;Bunyola;2.6937701570782906;39.704810814498515
SANT LLORENÇ DES CARDASSAR;SUMIVINS 2013, SL (B57825275);Alta;;SHORT DE SA BAGURA;;Polígon 8 Parcel·la 359. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca;;29/06/2001;AG/104;;;;Allotjaments;;Agroturisme;11;28;Sant Llorenç Del Cardassar;;
CAMPOS;JOSE OLLERS ALCOVER;Alta;;SON LLADO;4358815.25526;Camí DES PALMER, KM 2,3, APT. 157, S/N. 07630 CAMPOS, Mallorca;500356.253308;04/09/2001;AG/106;;;183855;Allotjaments;;Agroturisme;5;20;Campos;3.0041363176381366;39.378813075060876
LLUCMAJOR;AGROTURISME PEROLA 1996, SL (B19370808);Alta;;SA PLETA PEROLA;;Polígon 17 Parcel·la 236. 07620 LLUCMAJOR, Mallorca;;17/09/2001;AG/107;;;;Allotjaments;;Agroturisme;5;10;Llucmajor;;
SÓLLER;HOTEL CAS XORC SL (B07916018);Alta;4 estrelles;CAS XORC;4402563.18;Carretera DEIÀ - SÓLLER, ILLA 63, NÚMERO 238, S/N. 07100 SÓLLER, Mallorca;473020.78;24/10/2001;AG/108;;;;Allotjaments;;Agroturisme;15;30;Sóller;2.684977817233504;39.77257469860693
LLORET DE VISTALEGRE;SA ROTA DEN PALERM SL (B07983208);Alta;;SA ROTA DEN PALERM;4385460.18039;Carretera LLORET DE VISTA ALEGRE- MUNTUÏRI.KM 0,8. SA ROTA DEN PALERM, S/N. 07518 LLORET DE VISTALEGRE, Mallorca;497964.085247;28/02/2002;AG/109;;;297031;Allotjaments;;Agroturisme;8;22;Lloret De Vistalegre;2.976280330036993;39.61889704079455
ALGAIDA;MORGATUR SL (B07856446);Alta;;BINICOMPRAT;4379064.26;Polígon 24-PARCELA,122. 07210 ALGAIDA, Mallorca;492741.97;15/03/2002;AG/110;;;;Allotjaments;;Agroturisme;11;24;Algaida;2.915509515831279;39.56123868559885
BUNYOLA;AGROTURISMO SON PALOU ORIENT SL (B57050510);Alta;;SON PALOU;4398307.21;Polígon 5, PARCEL.LES 8 - 10. 07349 Orient, BUNYOLA, Mallorca;479384.08;17/04/2002;AG/111;;;;Allotjaments;;Agroturisme;15;30;Orient;2.75941145966054;39.734405838139175
CAMPANET;TORRE DES COLOMS SL (B07854243);Alta;;MONNABER VELL;4404587.32;TORRE DES COLOMS, POLIGON 10 PARC, 145. 07310 CAMPANET, Mallorca;495488.69;02/05/2002;AG/112;;;;Allotjaments;;Agroturisme;15;30;Campanet;2.9473095305139276;39.7912280478261
ARTÀ;PAPA PIZZA JANIN, CB (E57256513);Alta;;CASES DE SON DUC;4391884.62;Polígon 15, PARCEL.LA 179. 07570 ARTÀ, Mallorca;532939.55;17/06/2002;AG/113;;;;Allotjaments;;Agroturisme;4;8;Artà;3.3840823053256557;39.67615079837701
MONTUÏRI;ANTONIO RIBAS MOLL;Alta;;ES RAFAL;4381887.12;Carretera LLORET, KM 15, POLIG.9, PARCEL.LA 282, S/N. 07230 MONTUÏRI, Mallorca;498548.53;04/07/2002;AG/114;;;21000;Allotjaments;;Agroturisme;8;18;Montuïri;2.983097302136481;39.58670345248345
LLUCMAJOR;JOSE LUIS SANCHEZ TELLEZ;Alta;;SON ESTRANY;4368590.14;19-PARCEL.LA, 971. 07620 LLUCMAJOR, Mallorca;494796.02;04/07/2002;AG/115;;;;Allotjaments;;Agroturisme;12;24;Llucmajor;2.9395025425924017;39.466875979555866
VALLDEMOSSA;VISTAMAR DE VALLDEMOSSA SL (B07537392);Alta;;SES CASES DE CAS GARRIGUER;4395524.19381;VALLDEMOSSA A ANDRATX, KM 2,5, S/N. 07170 VALLDEMOSSA, Mallorca;465967.914209;30/07/2002;AG/116;;;;Allotjaments;;Agroturisme;10;20;Valldemossa;2.6029909680381;39.708900766616644
SINEU;PARADIS DES PLA SL (B57908428);Alta;;SA CASA ROTJA;4388507.22653;SINEU-MURO, KM 3,2. POLIGON 7, PARCELAS 265, 266, 267, 268, S/N. 07510 SINEU, Mallorca;501820.03446;01/07/2002;AG/117;;;;Allotjaments;;Agroturisme;7;24;Sineu;3.021212914433994;39.646352554053884
SÓLLER;CAN POMA SOLLER SL (B07844384);Alta;;CAN POMA;4402819.2752;SON FERRAGUT, S/N. 07100 SÓLLER, Mallorca;474848.879044;03/09/2002;AG/118;;;;Allotjaments;;Agroturisme;6;12;Sóller;2.706313490267097;39.77493809961247
SANTA MARGALIDA;PROFITUR INVERSION SL (B07774003);Alta;;SANTA EULALIA;4396805.83895;Carretera SANTA MARGALIDA-ALCUDIA, KM 6. POL. 15. PARCEL.LA 3, S/N. 07450 SANTA MARGALIDA, Mallorca;513259.087971;13/11/2002;AG/119;;;;Allotjaments;;Agroturisme;12;24;Santa Margalida;3.1547041808455867;39.72102437160701
FORNALUTX;MIGUEL OLIVER Y PASTOR SL (B07709132);Alta;;BALITX DAVALL CAN GORDO;4405176.22482;SOLLER-LLUC, S/N. 07109 FORNALUTX, Mallorca;478700.805311;27/05/1993;AG/12;;;;Allotjaments;;Agroturisme;10;19;Fornalutx;2.751215047195721;39.79627943684733
FELANITX;SIGRID SULZER;Alta;;CAN BOTA;4368947.82471;DE SON AMARET, 128. 07200 FELANITX, Mallorca;512798.006841;25/11/2002;AG/120;;;;Allotjaments;;Agroturisme;7;14;Felanitx;3.148786423312522;39.470019500311444
SANTANYÍ;ANTONIA FORTEZA GARI;Alta;;SON MARIMON;4357646.43;7 - PARCELA 780, S/N. 07650 SANTANYÍ, Mallorca;513974.01;25/02/2003;AG/121;;;;Allotjaments;;Agroturisme;9;18;Santanyí;3.1622220785229866;39.36816805644133
VALLDEMOSSA;HOTEL VALLDEMOSSA, SLU (B56247729);Alta;;VALLDEMOSSA;4394961.29144;Carretera VELLA DE VALLDEMOSSA. 32-33 I PART DE LA 31, S/N. 07170 VALLDEMOSSA, Mallorca;467424.217887;24/04/2003;AG/122;;;;Allotjaments;;Agroturisme;12;24;Valldemossa;2.620007272904996;39.70388582692958
PUIGPUNYENT;CAN LLOETA, SL (B57597767);Alta;;SON BURGUET;4385138.06;PARCEL·LA 124, POLIGON 3, S/N. 07194 PUIGPUNYENT, Mallorca;462483.63;05/05/2003;AG/123;;;;Allotjaments;;Agroturisme;6;12;Puigpunyent;2.5629352240522714;39.615174918508735
VILAFRANCA DE BONANY;AYURVILA MALLORCA, SL (B13989009);Alta;;SA FRANQUESA VELLA;4377118.34612;Carretera PETRA-FELANITX (PM 511, ENCREUAMENT SES BASSES) KM 3,8. POLIGONS 3 I 4, PARCEL.LES 1367,340 I 342, S/N. 07250 VILAFRANCA DE BONANY, Mallorca;512021.081924;06/05/2003;AG/124;;;;Allotjaments;;Agroturisme;9;20;Vilafranca De Bonany;3.139901666421035;39.543651547212576
SELVA;FINCA MIRABONA, SL (B02980563);Alta;5 estrelles;CAN BENEÏT;4402503.82995;Polígon 13 PARCEL·LA 70. 07313 Caimari, SELVA, Mallorca;491826.536964;09/05/2003;AG/125;;;;Allotjaments;;Agroturisme;10;20;Caimari;2.9045628867340993;39.77242822832715
SANTA MARIA DEL CAMÍ;TORRENT FALS SL UNIPERSONAL (B57064297);Alta;;ES TORRENT FALS;4390503.02734;POLÍG. 4, PARC. 255, 222, S/N. 07320 SANTA MARIA DEL CAMÍ, Mallorca;480456.262624;15/05/2003;AG/126;;;;Allotjaments;;Agroturisme;7;14;Santa Maria Del Camí;2.772155114912518;39.664113848059394
BUNYOLA;SA GUBIA BLANCA SL (B57027062);Alta;;SALQUERIA BLANCA;4393616.43;PALMA-SOLLER, KM.13,60, S/N. 07110 BUNYOLA, Mallorca;472404.63;21/05/2003;AG/127;;;;Allotjaments;;Agroturisme;12;24;Bunyola;2.6781585498474243;39.691944037819916
LLUCMAJOR;SON SAMPOLI SL (B57992745);Alta;;SON SAMPOLI;4372548.03;Polígon 16, PARCEL.LA 340. 07620 LLUCMAJOR, Mallorca;493098.5;10/06/2003;AG/128;;;;Allotjaments;;Agroturisme;35;84;Llucmajor;2.919727510267872;39.502526988611116
CAMPOS;AGRICOLA COLL DE DAMA CB (E57967242);Alta;;SES ARENES;4361925.82537;Carretera CAMPOS - COLONIA DE SANT JORDI, KM., 11. 07630 CAMPOS, Mallorca;501259.425293;14/07/2003;AG/129;;;649428;Allotjaments;;Agroturisme;11;27;Campos;3.0146285455342032;39.406840792086584
CAMPOS;ALFURINET, SL (B57888166);Alta;;SES ROTES VELLES;4355220.38;POLÍGON 16, PARCEL.LA 199, S/N. 07630 CAMPOS, Mallorca;501541.72;14/07/2003;AG/130;;;;Allotjaments;;Agroturisme;12;24;Campos;3.0178920402704996;39.34641908987649
SÓLLER;ANTONIA MARIA GARAU DARDER;Alta;;CAS CURIAL;4402477.16;VILLALONGA, 23. 07100 SÓLLER, Mallorca;475501.21;12/09/2003;AG/131;;;;Allotjaments;;Agroturisme;7;14;Sóller;2.713943346800252;39.771874651467606
FELANITX;FINCA CAN BESSOL, SL (B57314056);Alta;;CAN BESSOL;4362029.39972;SISENA VOLTA- FINCA  CAN BESSOL, 287. -, -;518096.957457;04/11/2003;AG/132;;;21000;Allotjaments;;Agroturisme;7;18;Horta (L);3.210202912287937;39.40758509753114
BÚGER;AGROTURISME SON PONS SL (B57113888);Alta;;SON PONS;4401246.73;BUGER-SA POBLA KM 1,2  (4, PARCELA 77), S/N. 07311 BÚGER, Mallorca;499793.28;10/02/2004;AG/133;;;;Allotjaments;;Agroturisme;11;22;Búger;2.9975866361261847;39.76114076159757
CALVIÀ;FINCA SON TRIAS SL (B07778228);Alta;;SON TRIAS;4380686.75007;CAPDELLA - PAGUERA KM. 10, S/N. 07184 CALVIÀ, Mallorca;454037.520624;22/03/2004;AG/134;;;;Allotjaments;;Agroturisme;5;10;Calvià;2.4648506257906044;39.57465661712949
SANT LLORENÇ DES CARDASSAR;ANDRES ALCOVER ANDRE;Alta;;SES BITL·LES;4372609.56521;SON MESQUIDA.KM 4.5POLIGONO 7, PARCELA 522, S/N. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca;504793.630337;16/06/2004;AG/135;;;;Allotjaments;;Agroturisme;7;14;Sant Llorenç Del Cardassar;3.0557559648457224;39.503095797968975
SELVA;FINCA BINIBONA PARC NATURAL (B07980295);Alta;;BINIBONA PARC NATURAL;4404050.2;POLIGON 13, PARCEL·LA 164 Y POLIGON 15 PARCEL·LA 25, S/N. 07314 SELVA, Mallorca;493131.1;23/09/2004;AG/136;;;0;Allotjaments;;Agroturisme;22;49;Selva;2.919779373914815;39.78637276156256
MANACOR;TERESA DURAN FONS;Alta;;SA VALL DE SON MACIA;4378375.28807;Polígon 303, 23 - PARCEL.LA. 07509 Son Macià, MANACOR, Mallorca;520228.107134;28/10/2004;AG/137;;;;Allotjaments;;Agroturisme;6;14;Son Macià;3.2354529145639446;39.554822930954884
POLLENÇA;LLENAIRE FINCA AGROTURISME SL (B57027609);Alta;;LLENAIRE;4415490.72;10, PARCEL·LA, 461. 07460 POLLENÇA, Mallorca;505734.74;12/11/2004;AG/138;;;;Allotjaments;;Agroturisme;11;22;Pollença;3.067075191882532;39.889460811675995
ESPORLES;SA SIMENTERA DE CANET (V01671189);Alta;;RONDAIA;4390157.64;4, PARCEL.LES 39 I 73, S/N. 07190 ESPORLES, Mallorca;467168.77;26/11/2004;AG/139;;;;Allotjaments;;Agroturisme;8;15;Esporles;2.617266568461904;39.66059467501089
CAPDEPERA;ASESORIA LABORAL Y GESTION EMPRESA SL (B07585532);Alta;;CASES DE SON BARBASSA;4397068.23;CALA MESQUIDA/ CAMI DE SON BARBASSA POL- 4 PARCEL.LA 180 I 181, S/N. 07580 CAPDEPERA, Mallorca;535923.5;26/11/2004;AG/140;;;;Allotjaments;;Agroturisme;20;40;Capdepera;3.4191574129711775;39.72273499914346
PORRERES;SON DAGUETA SL;Alta;;CAN FELIU;4373072.21326;SON DAGUETA POLÍGON 4, PARCEL·LES 850 I 906, S/N. 07260 PORRERES, Mallorca;502644.478605;26/11/2004;AG/141;;;;Allotjaments;;Agroturisme;9;17;Porreres;3.0307604630394986;39.50727382181772
CAMPOS;SON SALA, SC (J16577058);Alta;;SON SALA;4366221.29598;Carretera LLUCMAJOR-CAMPOS, KM 33.POLÍGONO 5, PARC. 664,665, 486, S/N. 07630 CAMPOS, Mallorca;498032.4187;14/12/2004;AG/142;;;;Allotjaments;;Agroturisme;4;8;Campos;2.977133396699502;39.445544644273795
FELANITX;JOSE LUIS FORTEZA ARTIGUES;Alta;;CAN RITO;4368269.98;POLÍGONO, Nº 48, PARCELA 77, S/N. 07200 FELANITX, Mallorca;506821.12;04/01/2005;AG/143;;;;Allotjaments;;Agroturisme;8;16;Felanitx;3.079293790801929;39.463979838219664
SANT LLORENÇ DES CARDASSAR;AGROTURISME SES CASES NOVES SL (B57066615);Alta;;SES CASES NOVES;4385525.08567;SANT LLORENÇ-ARTA, KM 58.3 (6, PARCELAS 457 Y 27), S/N. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca;525152.021182;30/03/2005;AG/144;;;;Allotjaments;;Agroturisme;9;20;Sant Llorenç Del Cardassar;3.293037329157212;39.61911471789642
ARTÀ;SEBASTIAN LLITERAS ROSSELLO;Alta;;SON CARDAIX;4389860.27;10, PARCEL.LA 28, S/N. 07570 ARTÀ, Mallorca;527640.99;30/03/2005;AG/145;;;;Allotjaments;;Agroturisme;9;18;Artà;3.3222162176547934;39.65809893569304
MANACOR;MARGALIDA GALMES MEDINA;Alta;;SES CASES DES RAFALET;4383671.22;27  PARCEL·LA, 98. 07500 MANACOR, Mallorca;514718.91;25/04/2005;AG/146;;;;Allotjaments;;Agroturisme;5;10;Manacor;3.1714443166892083;39.60265371062525
SANTA MARGALIDA;TANCA LLARGA, SL (B57509630);Alta;;SA BOLEDA;4396805.83895;Polígon 12, PARCEL·LA 150. 07450 SANTA MARGALIDA, Mallorca;513259.087971;08/07/2005;AG/147;;;;Allotjaments;;Agroturisme;7;14;Santa Margalida;3.1547041808455867;39.72102437160701
ARTÀ;NA SETCENTES, SL (B07960262);Alta;;NA SET CENTES;4392537.45;ARTÀ-CANYAMEL (PARCEL·LA 142, POLÍGON 15), S/N. 07570 ARTÀ, Mallorca;532934.82;30/11/2005;AG/148;;;;Allotjaments;;Agroturisme;5;10;Artà;3.3840597322567088;39.682033044332684
MARRATXÍ;SON CAULELLES NOU S.A. (A07304835);Alta;;SHORT DE SON CAULELLES;4385657.09;CAMI DES MIRADOR SENSE NUMERO, S/N. 07141 Cabaneta (La), MARRATXÍ, Mallorca;479383.02;31/01/2006;AG/149;;;;Allotjaments;;Agroturisme;12;24;Cabaneta (La);2.759794240717958;39.62042537281007
SÓLLER;CAN COLL WINE & MORE, SL (B44541373);Alta;;CAN COLL;4402819.2752;Camí DE CAN COLL, 1. 07100 SÓLLER, Mallorca;474848.879044;02/09/1993;AG/15;;;;Allotjaments;;Agroturisme;5;9;Sóller;2.706313490267097;39.77493809961247
ESPORLES;SUSANA GOMEZ QUINTANA;Alta;;CA NA SUSI;4389500.70867;PALMA-VALLDEMOSSA KM 10,9, S/N. 07190 Esgleieta (L), ESPORLES, Mallorca;469187.388403;17/03/2006;AG/158;;;;Allotjaments;;Agroturisme;8;15;Esgleieta (L);2.640829008875654;39.65475077981512
BUNYOLA;SINEU INVERSIONES S.L. (B07594609);Alta;;ALFABIA;4396534.38;POLÍGON 8, PARCEL·LA 7, S/N. 07110 BUNYOLA, Mallorca;473503.41;20/04/2006;AG/159;;;;Allotjaments;;Agroturisme;10;24;Bunyola;2.690856005441433;39.71826995926089
CAMPOS;ERHARD & STERN ESPAÑA, SL (B16634602);Alta;;ES PALMER;4.358084495E9;Carretera CAMPOS-COLONIA DE SANT JORDI, KM. 6,4, PARCEL·LA 574, POLÍGON 18, S/N. 07630 CAMPOS, Mallorca;502158.848178;02/09/1993;AG/16;;;;Allotjaments;;Agroturisme;14;28;Campos;3.0196578149579705;-9.30181304020136
SANTANYÍ;NA MARTINA SL (B57850968);Alta;;NA MARTINA;4356586.85;POLIGON 7, PARCEL·LA 1262, HABITATGE 401 CARRETERA PORTOPETRO - MONDRAGÓ, S/N. 07650 Portopetro, SANTANYÍ, Mallorca;516746.52;20/04/2006;AG/160;;;;Allotjaments;;Agroturisme;11;22;Portopetro;3.1943810838182407;39.35857113788539
VALLDEMOSSA;SON MIRABO SL (B57146979);Alta;;MIRABÓ DE VALLDEMOSSA;4394961.29144;VALLDEMOSSA, KM. 15,970, S/N. 07170 VALLDEMOSSA, Mallorca;467424.217887;01/06/2006;AG/161;;;;Allotjaments;;Agroturisme;9;18;Valldemossa;2.620007272904996;39.70388582692958
LLUCMAJOR;MARIA MONSERRAT SITJAR CIRERA;Alta;;SALBENYETA;4367390.91;POLIGON 47-PARCEL.LA 274, S/N. 07620 LLUCMAJOR, Mallorca;490529.15;04/07/2006;AG/162;;;;Allotjaments;;Agroturisme;3;6;Llucmajor;2.889916293656244;39.45603378568655
ESTELLENCS;FUNDACION SOLIVAR DE ESTELLENCHS (G07599343);Alta;;SANTUARI DE SOLIVAR;4388914.03944;FINCA SOLIVAR. CARRETERA C-710, KM. 93,5, S/N. 07192 ESTELLENCS, Mallorca;455086.077688;01/09/2006;AG/163;;;;Allotjaments;;Agroturisme;4;10;Estellencs;2.476500655390086;39.64884032707174
POLLENÇA;PROMA MALLORCA, SL (B16665523);Alta;;ALMOND VALLEY;4413551.56;Predi CAN GUILLOT - POLÍGON 7, PARCEL.LA 93, S/N. 07460 POLLENÇA, Mallorca;500173.39;13/11/2006;AG/164;;;;Allotjaments;;Agroturisme;8;16;Pollença;3.002027506049367;39.872008380057494
CAMPOS;RURAL BARCELO SL (B16514515);Alta;;SON BARCELO MAS;4362342.21;POLÍGON. 13, PARCEL·LA 494, 598 I 599, CTRA SANTANYÍ, KM 42, S/N. 07630 CAMPOS, Mallorca;505156.97;15/11/2006;AG/165;;;21000;Allotjaments;;Agroturisme;14;27;Campos;3.059902715616937;39.41057821662532
ARTÀ;PEDRO MORELL MORAGUES;Alta;;SON NOT;4396535.04;POLIGON 19 PARCEL·LA 79, S/N. 07570 ARTÀ, Mallorca;530731.42;27/11/2006;AG/166;;;;Allotjaments;;Agroturisme;7;14;Artà;3.35855226298263;39.71813383490156
MARIA DE LA SALUT;AGROTURISMO ROQUETA SL (B57093205);Alta;;ROQUETA;4391630.18132;PREDIO ROQUETA, S/N. 07519 MARIA DE LA SALUT, Mallorca;508108.074464;27/11/2006;AG/167;;;;Allotjaments;;Agroturisme;5;12;Maria De La Salut;3.0945397212864143;39.67445487075693
ARTÀ;ANDRES VIVES ANDREU;Alta;;SON CAMINALS;4396129.94822;PARCELA 233-A, POLIGONO 21, S/N. 07570 ARTÀ, Mallorca;528173.255827;21/03/2007;AG/168;;;;Allotjaments;;Agroturisme;2;4;Artà;3.328688587988553;39.714572255162025
POLLENÇA;;Alta;;VARITX PARADÍS;4412598.95;POLÍGON 7, PARCEL·LA 189, S/N. 07460 POLLENÇA, Mallorca;496320.47;12/03/2007;AG/169;;;;Allotjaments;;Agroturisme;6;12;Pollença;2.9569794178690816;39.86341739536645
MANACOR;MARGARITA DURAN SITGES;Alta;;ES PLA DE LLODRA;4375864.24;POLÍGON 24, PARCEL·LA 776 CTRA. MANACOR -FELANITX KM.5, S/N. 07500 MANACOR, Mallorca;516230.85;24/05/2007;AG/170;;;;Allotjaments;;Agroturisme;6;12;Manacor;3.188864213537332;39.532282163848954
FELANITX;ANDRES BINIMELIS GARCIAS;Alta;;CAN TORT;4366542.3;POLÍGON 30, PARCEL·LES 19, 20, 53 I 54, S/N. 07200 FELANITX, Mallorca;520903.11;18/06/2007;AG/172;;;;Allotjaments;;Agroturisme;6;12;Felanitx;3.242938323681942;39.448185636358666
SELVA;HORT DE CAS MISSER, SL (B16663999);Alta;;SHORT DE CAS MISSÉ;4400563.68;POLÍGON 17, PARCEL·LA 51, S/N. 07313 SELVA, Mallorca;492046.13;07/12/2007;AG/174;;;;Allotjaments;;Agroturisme;8;16;Selva;2.9071504343835763;39.75494924824496
SELVA;JUTTAS-WORLD, SL (B57629586);Alta;;SON OLIVE;4399892.99;Polígon  9, PARCELA 175. 07313 SELVA, Mallorca;493854.28;07/12/2007;AG/175;;;;Allotjaments;;Agroturisme;9;18;Selva;2.928264138495396;39.748921173706364
MARIA DE LA SALUT;CARMEN CALDENTEY PASCUAL;Alta;;DEULOSAL;4390681.62;PARCEL·LA 196,POLÍGON. 4, S/N. 07519 MARIA DE LA SALUT, Mallorca;507468.86;14/01/2008;AG/176;;;;Allotjaments;;Agroturisme;1;4;Maria De La Salut;3.0870757925456176;39.665913870760726
PORRERES;FRANCISCA BONET SUÑER;Alta;;SON ROIG;4373072.21326;POLIGON 5, PARCEL·LES 201, 202, 203, 206, 207, 208 I 210, S/N. 07260 PORRERES, Mallorca;502644.478605;02/04/2008;AG/177;;;;Allotjaments;;Agroturisme;12;24;Porreres;3.0307604630394986;39.50727382181772
ESPORLES;MORO & MALUS S.L.U (B72915176);Alta;;CAN TORNA;4389906.72009;ESPORLES, KM 4,300 (FINCA SON QUINT), S/N. 07190 ESPORLES, Mallorca;465364.208294;09/04/2008;AG/178;;;;Allotjaments;;Agroturisme;11;22;Esporles;2.5962433389787765;39.65826263301715
PETRA;MATEO MARTI PONS;Alta;;SON TORRAT;4382663.17;V-PARCELA 357-359, S/N. 07520 PETRA, Mallorca;508018.91;12/05/2008;AG/179;;;;Allotjaments;;Agroturisme;6;12;Petra;3.093391359899458;39.593659704042935
LLUCMAJOR;EXPLOTACIONES AGROPECUARIAS SON SAMA SL (B07167653);Alta;;SON SAMA;4371026.43784;LLUCMAJOR- PORRERES,KM.35, S/N. 07620 LLUCMAJOR, Mallorca;491627.167462;14/10/1993;AG/18;;;;Allotjaments;;Agroturisme;6;14;Llucmajor;2.902633347378481;39.488803493526525
LLOSETA;HERMANOS RIERA JAUME CB (E07497613);Alta;;FILICUMIS;4396718.86237;Polígon 1, PARCEL·LA 3. 07360 LLOSETA, Mallorca;487870.983287;28/08/2008;AG/180;;;;Allotjaments;;Agroturisme;5;17;Lloseta;2.858482809251216;39.720257514947725
SANTA MARGALIDA;AGROMISTICA SA CAPELLA, SL (B57423394);Alta;;MANSION SA CAPELLA;4396805.83895;POLIGON 5, PARCEL·LA 75,, S/N. 07450 SANTA MARGALIDA, Mallorca;513259.087971;03/12/2008;AG/181;;;;Allotjaments;;Agroturisme;8;22;Santa Margalida;3.1547041808455867;39.72102437160701
SANT LLORENÇ DES CARDASSAR;HOTEL LLAUT PALACE SL (B57953366);Alta;;AGROTURISME SON PENYA;4382795.48;POLIGON 3, PARCEL·LA 307, S/N. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca;524821.33;03/12/2008;AG/182;;;;Allotjaments;;Agroturisme;20;40;Sant Llorenç Del Cardassar;3.2890823179849207;39.59452980504671
SON SERVERA;SASCHA 1999 S.L (B57037723);Alta;;EL ENCINAR;4389843.59;PARCEL·LA 185, POLÍGON 17, S/N. 07550 SON SERVERA, Mallorca;531396.63;18/02/2009;AG/183;;;;Allotjaments;;Agroturisme;10;20;Son Servera;3.365994837395708;39.65781894293452
CAMPOS;AMAPOLA 2021, SL (B16780603);Alta;;AMAPOLA;4362059.34;POLÍGON 19, PARCEL·LA 548, S/N. CAMPOS, Mallorca;500149.65;29/04/2009;AG/184;;;;Allotjaments;;Agroturisme;10;20;Campos;3.00173825275767;39.40804476241848
MONTUÏRI;UNICO MONTUIRI,SL (B67223545);Alta;5 estrelles;FINCA SERENA MALLORCA;4382152.32;Polígon 8, PARCELA 1. CTRA PINA-MONTUIRI, KM 3. 07230 MONTUÏRI, Mallorca;495387.82;29/04/2009;AG/185;;;0;Allotjaments;;Agroturisme;25;50;Montuïri;2.9462882812344273;39.58908183816069
FELANITX;ANTONIA ADROVER MAS;Alta;;SON CAPELLOT;4367416.72;PARCEL.LES, 132,133,134 DEL POLIGON 53, S/N. 07200 FELANITX, Mallorca;511748.14;29/04/2009;AG/186;;;;Allotjaments;;Agroturisme;9;17;Felanitx;3.1365540045857654;39.456238283537765
ESPORLES;RUSH HOTELS BALEARS, SL (B57717183);Alta;;SHORT DE CANET;4389730.05265;Carretera VALLDEMOSSA - ESPORLES, KM. 1, POL. 4 PARCELAS 53-54, S/N. ESPORLES, Mallorca;468213.561917;19/06/2009;AG/187;;;;Allotjaments;;Agroturisme;10;28;Esporles;2.6294666673076232;39.65678154719151
SANTANYÍ;CATHLEEN HUBERT (X8403025K);Alta;;SA TANCA DES GARBELLO;4359915.88447;CTRA. CALONGE-CALA DOR KM 2.800, S/N. 07650 Cala DOr, SANTANYÍ, Mallorca;518921.029394;06/07/2009;AG/188;;;;Allotjaments;;Agroturisme;8;16;Cala DOr;3.2197149996213157;39.388523213989934
ESPORLES;POLLENSA BELLAMAR INVESTMENTS, SL (B57726192);Alta;;SON GALCERAN;;Polígon 5 PARCEL.LA 23. 07190 ESPORLES, Mallorca;;21/10/2009;AG/189;;;;Allotjaments;;Agroturisme;20;39;Esporles;;
