Municipi;Explotador/s;Estat;Categoria;Denominació comercial;UTM(Y);Direcció;UTM (X);Inici d'activitat;Signatura;Hotel de ciutat;Excepcions ratio turístic;Superfície;Subgrup;Memoria descriptiva;Grup;Unitats;Places;Localitat;longitude;latitude
SÓLLER;CONTRATAS SOLLER,SL (B07857568);Alta;;CAN VERI SUITES;;Carrer Serra, 4. 07100 SÓLLER, Mallorca;;13/03/2023;TI/222;;Excepció article 5.5 llei 8/2012, turisme dinterior;661;Allotjaments;;Turisme dinterior;6;12;Sóller;;
ARTÀ;CASAL DE CIUTADELLA SLU (B57990095);Alta;;MY ROOMS ARTÀ;;Carrer de Josep Sanxo de la Jordana, 3. 07570 ARTÀ, Mallorca;;03/06/2022;TI/223;;Excepció article 5.5 llei 8/2012, turisme dinterior;510;Allotjaments;;Turisme dinterior;5;10;Artà;;
FELANITX;Y & G INMOBILIA, CB (E16526360);Alta;3 estrelles;CAN SULL;;Carrer Major, 30. 07208 Cas Concos Del Cavaller, FELANITX, Mallorca;;13/12/2022;TI/225;;Excepció article 5.5 llei 8/2012, turisme dinterior;413;Allotjaments;;Turisme dinterior;6;11;Cas Concos Del Cavaller;;
ALCÚDIA;PETIT PALAU ALCUDIA, SL (B16517690);Alta;;PETIT PALAU ALCUDIA;4411408.975;Carrer DE LESGLÉSIA, 16. 07400 ALCÚDIA, Mallorca;510265.9667999996;13/02/2023;TI/226;;Excepció article 5.5 llei 8/2012, turisme dinterior;237;Allotjaments;;Turisme dinterior;5;10;Alcúdia;3.1200095526377796;39.852641593597546
SANT LLORENÇ DES CARDASSAR;LLUCAMAR PARTNERS, SL (B02754364);Alta;;ALOJAMIENTO BOUTIQUE CAN POCOVI;4384674.5622000005;Carrer MARE DE DEU TROBADA, 5. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca;524566.2811000003;06/04/2022;TI/227;;Excepció article 5.5 llei 8/2012, turisme dinterior;488;Allotjaments;;Turisme dinterior;8;16;Sant Llorenç Del Cardassar;3.2861815999931414;39.61146826760611
PALMA;AMTRAK, SL (A58911249);Alta;5 estrelles;PORTELLA PALMA;4379718.164799999;Carrer PORTELLA, 9. 07001 PALMA, Mallorca;469982.6843999997;17/01/2024;TI/229;;Excepció article 5.5 llei 8/2012, turisme dinterior;1350;Allotjaments;;Turisme dinterior;14;30;Palma;2.6505427350397537;39.566635998049016
SELVA;CAN CALCO SL (B07971187);Alta;;CAN CALCO;4401676.26196;CAMPANET, 1. 07314 Moscari, SELVA, Mallorca;494555.481828;08/10/2002;TI/23;;;;Allotjaments;;Turisme dinterior;5;10;Moscari;2.936434136702146;39.764993537559
SANTA MARGALIDA;SERRECER DEL DIMONI, SL (B16661811);Alta;;CA SA PAGESA;;Carrer de lautonomia, 2. 07450 SANTA MARGALIDA, Mallorca;;04/04/2024;TI/230;;Excepció article 5.5 llei 8/2012, turisme dinterior;518;Allotjaments;;Turisme dinterior;18;36;Santa Margalida;;
BANYALBUFAR;GERMANS FERRA BESTARD, SL (B07810831);Alta;;CAN COLOM;4393147.1131;Carrer JERONI ALBERTÍ, 7. 07191 BANYALBUFAR, Mallorca;458370.17449999973;18/02/2024;TI/231;;Excepció article 5.5 llei 8/2012, turisme dinterior;354;Allotjaments;;Turisme dinterior;5;10;Banyalbufar;2.514510611664785;39.68714650979671
PALMA;PROYECTOS TANINA, S.L. (B57003378);Alta;;FINCA 14 LOFTS PALMA;;Carrer Apuntadores, 14. 07012 PALMA, Mallorca;;15/05/2024;TI/232;;Excepció article 5.5 llei 8/2012, turisme dinterior;430;Allotjaments;;Turisme dinterior;3;10;Palma;;
ARTÀ;Nadine Lendenmann (Y6190566S);Alta;;CASA SANTA FE;;Carrer del Coll del Grec, 5. 07570 ARTÀ, Mallorca;;09/08/2024;TI/233;;Excepció article 5.5 llei 8/2012, turisme dinterior;375;Allotjaments;;Turisme dinterior;6;10;Artà;;
SINEU;NARCIS VILAIRE BATLE;Alta;;CAS CATALÀ;;Carrer dels Bous, 101. 07510 SINEU, Mallorca;;08/10/2024;TI/234;;Excepció article 5.5 llei 8/2012, turisme dinterior;758;Allotjaments;;Turisme dinterior;9;18;Sineu;;
SÓLLER;SOCIEDAD MEDITERRÁNEA DE EXPLOTACIÓN HOSTELERA Y RENOVACIÓN, SLU (B57613226);Alta;;MOONTEN;4401934.6899999995;Carrer DE SANT JOAN, 10. 07100 SÓLLER, Mallorca;475754.2022000002;21/10/2024;TI/235;;Excepció article 5.5 llei 8/2012, turisme dinterior;372;Allotjaments;;Turisme dinterior;5;10;Sóller;2.71691735958196;39.76699421154989
BANYALBUFAR;JOAN FERRA BESTARD;Alta;;CAN BORGUNY;4393115.51221;BORGUNY, 1. 07191 BANYALBUFAR, Mallorca;458356.6862045;29/01/2003;TI/24;;;;Allotjaments;;Turisme dinterior;8;16;Banyalbufar;2.514355310468164;39.686861129124374
CAMPANET;INGRID UTA WOLTER (X1866894F);Alta;;SON PONS;4402960.66713;SON PONS, S/N. 07310 Ullaró, CAMPANET, Mallorca;498791.385304;30/01/2003;TI/25;;;;Allotjaments;;Turisme dinterior;6;12;Ullaró;2.985886809357747;39.77658278171409
ALCÚDIA;Pere Reus Viver;Alta;;CAN TEM;4411379.9878;Plaça DE LESGLÉSIA, S/N. 07400 ALCÚDIA, Mallorca;510275.800485;21/03/2003;TI/26;;;;Allotjaments;;Turisme dinterior;6;12;Alcúdia;3.1201240532998433;39.85238029956846
